"TOA5","8552","CR3000","8552","CR3000.Std.26","CPU:2019-10-22_Mobile-PM_Gill-RS232_T-RH_LI75.CR3","47685","slowdata"
"TIMESTAMP","RECORD","CPC_aux_Avg","LiveBin_1dM_Avg","LiveBin_16dM_Avg","Ts_Avg","Pressure_kPa_Avg","BattV_Min","PTemp_C"
"TS","RN","p/cm3","ug/m^3","ug/m^3","degC","kPa","Volts","Deg C"
"","","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2019-10-31 10:33:00",423,12248.77,2.548966,0,2.742,83.8,12.39,12.52
"2019-10-31 10:34:00",424,11270.13,2.4884,1.553,2.72,83.5,12.36,12.54
"2019-10-31 10:35:00",425,13652.46,2.6676,1.553,2.739,83.4,12.41,12.54
"2019-10-31 10:36:00",426,"NAN",2.518167,1.553,2.455,"NAN","NAN",12.49
"2019-10-31 10:37:00",427,9492.416,2.469633,0,2.552,87.9,12.39,12.57
"2019-10-31 10:38:00",428,18757.23,2.463833,0,2.815,84.8,12.41,12.67
"2019-10-31 10:39:00",429,14580.52,2.4794,0,2.838,83.9,12.39,12.75
"2019-10-31 10:40:00",430,"NAN",2.490533,1.553,3.247,"NAN","NAN",17.36
"2019-10-31 10:41:00",431,"NAN",2.450567,0.7765,2.932,"NAN",12.42,12.96
"2019-10-31 10:42:00",432,"NAN",2.5247,1.553,3.445,89.1,12.4,13.04
"2019-10-31 10:43:00",433,18989.62,2.466533,1.553,3.288,89.8,12.37,13.12
"2019-10-31 10:44:00",434,10565.85,2.405933,0,2.856,85.3,12.4,13.2
"2019-10-31 10:45:00",435,10133.07,2.4089,0.7765,2.793,84,12.4,13.27
"2019-10-31 10:46:00",436,8468.063,2.4272,1.553,2.657,83.6,12.4,13.34
"2019-10-31 10:47:00",437,7842.932,2.422566,0,2.794,83.4,12.41,13.41
"2019-10-31 10:48:00",438,"NAN",2.4214,0,2.934,83.4,12.2,13.48
"2019-10-31 10:49:00",439,7674.729,2.4202,1.553,2.979,83.4,12.16,13.54
"2019-10-31 10:50:00",440,8755.315,2.421267,0.7765,3.179,83.4,12.01,13.6
"2019-10-31 10:51:00",441,8967.203,2.442066,0,3.202,83.4,12.39,13.66
"2019-10-31 10:52:00",442,10280.76,2.417033,0,3.253,83.3,12.42,13.71
"2019-10-31 10:53:00",443,12036.42,2.4628,0.7765,3.393,83.4,12.42,13.76
"2019-10-31 10:54:00",444,11752.36,2.432433,0,3.368,83.4,12.42,13.8
